"variable","mean","sd"
"depth",43.5726464047443,34.2148962257885
"lime",6.09280059303188,12.0341276237968
"recording_year",1989.79599703484,5.84632309332676
"bedgwleiter",1.07175685693106,0.359002126212769
"feucht_wild",1.05500370644922,0.290349276081897
"gwleiter",0.935656041512231,1.9536264559148
"skfeucht",0.0913269088213492,0.288080554491546
"drainfor",19.2537868390179,33.4177274306221
"drumdist",1759.29391051392,1611.87044957249
"morfruewurm",4395.44341774354,3651.3064372043
"morkillw",2918.6414198172,2660.19876156534
"morriss",8226.57187904318,4930.46424511175
"morschlier",3626.32224864507,2631.25658406414
"morzuerich",4094.96185866441,3931.37598049261
"pp6190avgm1",7.94397780748541,1.02343956466022
"pp6190avgpm7",0.883910403232207,0.141931718589531
"pp6190avgy",117.169575524242,19.5318371470926
"te6069avgtm1",-1.16352837443617,0.431376596933289
"te6069avgtm6",15.829261940404,0.721925313149914
"te6069avgtm7",17.2838738115564,0.703079915336061
"te6069avgtm8",16.2806565176566,0.654865302465125
"te6190avgty",8.4135404891487,0.594852447619755
"tn6069avgtm1",-3.69388889075209,0.484188489988455
"tn6069avgtm6",10.8480190997481,0.569379754476293
"tn6069avgtm7",12.3626159195727,0.532214836359335
"tn6069avgtm8",11.9130715018825,0.538767107494902
"tvar",18.447402192576,0.28097914255297
"tx6190avgtm1",2.01989199300887,0.349838077501494
"tx6190avgtm6",20.8649205424858,0.947731585115672
"tx6190avgtm7",23.2798937393878,0.947944602845161
"tx6190avgtm8",22.4187730765148,0.913993199000084
"zh_gwn25_hdist",254.472408616693,212.754200789331
"zh_gwn25_vdist",17.902500234594,21.5360022742013
"asp_eness100m",-0.0977709023474375,0.628092332942169
"asp_eness20m",-0.100597202578269,0.646229399755449
"asp_nness100m",0.0392412623646708,0.64769605689334
"asp_nness20m",0.0369208674351467,0.685376161919008
"cindex20m",-1.97951756306683,18.6212361935909
"cindex50m",-1.95274818228838,25.0546837573051
"curv100m",2.65615291669818e-05,0.00225928295369381
"curv20m",-4.08461531981031e-05,0.00581431764069024
"curvdown100m",-0.110160099677256,0.146255511011325
"curvdown20m",-0.0582050845683111,0.115683871943647
"curvplan100m",-0.000530858020154042,0.0121119623579092
"curvplan20m",-0.00271771702060071,0.0415567863631399
"curvprof100m",-5.39650268779949e-05,0.000683500982415142
"curvprof20m",-7.97452743108823e-05,0.00183102171872284
"curvup100m",0.111843243296034,0.200423172909307
"curvup20m",0.0400821244549522,0.118230781357092
"dhm20m",526.132915572046,123.801977496515
"heigmid100m",0.449403383669611,0.234810175318499
"heigmid20m",0.547002622622685,0.269573614832788
"heignor100m",0.397146190150611,0.231302480259966
"heignor20m",0.396380143243132,0.286676444781821
"heigslope100m",35.3980409173987,31.5443998682949
"heigslope20m",18.0267404314498,23.4387718082367
"heigstand100m",412.9189080987,105.388765842241
"heigstand20m",370.879335529845,130.711606203227
"heigval100m",58.0528281365261,39.7289345978219
"heigval20m",28.8239114754106,29.0135157768244
"mpi20m-30",0.0240669849852695,0.0220891562296184
"mrrtf100m",0.790236781917851,0.991385275508734
"mrrtf20m",0.752204356878224,1.03701002017721
"mrvbf100m",1.63299164325908,1.81008436489207
"mrvbf20m",1.47395416528883,1.41741918751094
"slope100m-perc",7.57057234554312,6.49519369438294
"slope20m-perc",7.32153193320806,7.06034729878247
"tpi_1km",-3.18542557764519,37.1993894593183
"tpi_200m",-0.0296964228447331,9.60779161296347
"tpi_2km",-1.93364025275682,56.2644475669042
"tpi_500m",-1.44057287811371,22.5776592269368
"tpi_60m",0.0511528360127873,1.99076048163427
"tri100m-5",22.8730262887133,16.3857280555146
"tri20m-5",4.56683999125254,3.9365599288134
"TWIcatchmod100m",12.794789572872,1.4890747836479
"TWIcatchmod20m",9.81888491600155,1.5060145515398
"TWIsaga100m",7.09912655910269,1.21138824775258
"TWIsaga100m_s50",7.08885637952099,1.20452240148586
"TWIsaga20m",5.63029638764768,1.30359060258298
"vrm100m-5",0.00590405158456729,0.00921970034004453
"vrm20m-5",0.00433624023445131,0.00992582859361216
"pi00",2690519.91549296,11262.0511819527
"pi10",2946745.19507201,11049.3358748489
"pi20",2914522.52377639,11542.2882415827
"pi30",2597006.08118105,12489.5868604718
"pi40",2025276.58895436,13479.1807986312
"pi50",1255298.91326909,14159.9454833648
"pi60",362443.833771219,14326.5498163921
"pi70",-565889.773470856,13932.4597636243
"pi80",-1438830.14689971,13089.9989675904
"pi90",-2170927.80063091,12068.5350359769
